ax,ay,az,qx,qy,qz,qw,ts
0.010282,0.000433,-0.048387,0.273722,0.129987,0.206930,0.930247,483503394.107428
0.003907,0.008940,-0.027676,0.273314,0.129426,0.206862,0.930460,483503394.119078
0.015350,0.010395,-0.037410,0.272320,0.128480,0.206773,0.930903,483503394.120436
-0.008207,-0.017924,-0.022043,0.270949,0.127092,0.206770,0.931494,483503394.136064
-0.032350,-0.044406,0.028883,0.270027,0.125549,0.207234,0.931867,483503394.150525
-0.062227,0.006993,0.041156,0.267275,0.125352,0.207963,0.932525,483503394.150753
-0.015131,0.005831,-0.112160,0.264240,0.126690,0.209166,0.932940,483503394.166207
0.032114,-0.002624,-0.208876,0.261812,0.129098,0.210851,0.932915,483503394.182582
0.024836,-0.010020,-0.218651,0.260630,0.131370,0.212395,0.932578,483503394.182956
0.016612,-0.009006,-0.106582,0.259772,0.132642,0.213431,0.932401,483503394.197800
-0.000279,0.014207,-0.008153,0.259189,0.133473,0.214029,0.932308,483503394.213627
-0.000230,0.047207,0.047017,0.257993,0.134026,0.214206,0.932519,483503394.214014
-0.016288,0.058310,0.061648,0.256310,0.134641,0.213854,0.932976,483503394.229095
0.009386,0.076704,0.096507,0.254183,0.135228,0.213312,0.933596,483503394.244778
0.013367,0.076403,0.092801,0.251734,0.135828,0.212746,0.934302,483503394.245171
-0.003162,0.046976,0.061649,0.249163,0.136539,0.211931,0.935072,483503394.260425
-0.017842,-0.036253,0.031371,0.246958,0.137116,0.210855,0.935816,483503394.276412
-0.032302,-0.038722,0.033084,0.244991,0.138157,0.209748,0.936428,483503394.276756
-0.003594,-0.027175,0.083907,0.243677,0.140169,0.208705,0.936705,483503394.292095
0.048087,-0.006122,0.112590,0.241454,0.142077,0.207877,0.937177,483503394.307772
0.094332,0.017167,0.086633,0.239251,0.144047,0.207363,0.937555,483503394.308029
0.136243,0.035653,0.044665,0.237393,0.145772,0.207082,0.937823,483503394.323410
0.138225,0.048068,-0.003748,0.236309,0.146635,0.206687,0.938049,483503394.339072
0.102427,0.050759,-0.033164,0.236035,0.146291,0.205931,0.938338,483503394.339303
0.077175,0.037913,-0.031565,0.236462,0.145133,0.204837,0.938650,483503394.355083
0.086797,0.010428,-0.009953,0.237387,0.143579,0.203547,0.938936,483503394.370575
0.090830,-0.012368,0.044906,0.238491,0.141813,0.202506,0.939150,483503394.370904
0.044152,-0.023681,0.155871,0.239098,0.139666,0.202125,0.939399,483503394.386404
-0.069221,0.032444,0.145465,0.238882,0.136864,0.202071,0.939878,483503394.402305
-0.159458,0.067072,0.158863,0.237882,0.133404,0.201403,0.940772,483503394.402528
-0.179005,0.084983,0.167799,0.235917,0.130087,0.199497,0.942137,483503394.417744
-0.156407,0.114338,0.145690,0.233059,0.126688,0.195751,0.944095,483503394.433575
-0.155543,0.160817,0.118001,0.229592,0.122799,0.189615,0.946707,483503394.433804
-0.136115,0.156304,0.145544,0.225677,0.118903,0.180983,0.949830,483503394.449537
-0.068160,0.108589,0.189063,0.221407,0.115657,0.170360,0.953195,483503394.465359
0.060033,0.033614,0.212041,0.217423,0.113432,0.159606,0.956235,483503394.465592
0.181405,-0.125023,0.282107,0.214355,0.113694,0.153022,0.957972,483503394.481080
0.198934,-0.252191,0.349192,0.212101,0.118379,0.152009,0.958067,483503394.497102
0.322141,-0.107182,0.384778,0.210244,0.128596,0.154987,0.956682,483503394.497449
0.544443,-0.037881,0.497455,0.208233,0.144753,0.161824,0.953676,483503394.512322
