ax,ay,az,qx,qy,qz,qw,ts
-0.011557,0.002990,-0.030836,0.274115,0.034964,0.336293,0.900303,484068018.025531
-0.010854,-0.011107,-0.025780,0.273639,0.034509,0.336798,0.900276,484068018.041169
-0.008166,-0.026016,-0.019240,0.273333,0.033981,0.337329,0.900191,484068018.041463
0.008846,-0.038744,-0.006809,0.272810,0.033397,0.338100,0.900082,484068018.056873
-0.000594,-0.031318,0.012745,0.272141,0.032847,0.339096,0.899930,484068018.072619
-0.031641,0.007002,0.031469,0.271722,0.032002,0.340195,0.899673,484068018.072897
-0.027133,-0.000820,0.028808,0.270891,0.032056,0.341162,0.899555,484068018.088304
-0.014250,-0.012539,0.024727,0.270075,0.032564,0.342207,0.899385,484068018.104287
-0.000826,-0.016798,0.016323,0.269284,0.033456,0.343433,0.899122,484068018.104624
-0.007484,-0.013203,0.000723,0.268760,0.034612,0.344838,0.898697,484068018.119914
-0.022095,0.001227,-0.018112,0.268134,0.035854,0.346267,0.898286,484068018.135670
-0.023227,0.013796,-0.040354,0.267682,0.037042,0.347529,0.897885,484068018.136007
-0.022674,0.014836,-0.040727,0.267468,0.037909,0.348584,0.897504,484068018.151172
-0.027662,0.008321,-0.038640,0.267028,0.037811,0.349570,0.897255,484068018.167091
-0.027969,0.012061,-0.042580,0.266943,0.037719,0.350224,0.897029,484068018.168266
-0.015348,0.008656,-0.016575,0.266845,0.037172,0.350834,0.896843,484068018.182707
-0.009412,-0.003691,0.000673,0.266645,0.036304,0.351502,0.896677,484068018.198931
-0.025444,0.007926,0.022363,0.266441,0.034990,0.352289,0.896481,484068018.199201
-0.051951,0.019043,-0.016679,0.265869,0.034174,0.352895,0.896443,484068018.214277
-0.029942,0.029140,-0.022579,0.265490,0.033619,0.353288,0.896422,484068018.230025
-0.032458,0.028900,-0.024813,0.264993,0.032579,0.353774,0.896416,484068018.230295
-0.043913,0.026167,-0.015630,0.265186,0.032437,0.353925,0.896304,484068018.245899
-0.039732,0.028963,0.003439,0.265438,0.032404,0.353956,0.896218,484068018.263215
-0.037518,0.028385,0.011301,0.265662,0.032539,0.353850,0.896189,484068018.263452
-0.034262,0.027285,0.013545,0.265871,0.031991,0.353827,0.896156,484068018.277414
-0.027730,0.021619,-0.001265,0.266155,0.032331,0.353511,0.896184,484068018.293244
-0.009913,0.009128,-0.003769,0.266556,0.032693,0.353186,0.896180,484068018.293491
-0.000052,-0.008692,0.010324,0.266949,0.033025,0.353062,0.896100,484068018.308659
0.013937,-0.013829,0.029925,0.267571,0.033703,0.353027,0.895903,484068018.324463
0.010791,-0.004354,0.028665,0.267840,0.034111,0.353268,0.895712,484068018.324820
0.014653,0.004009,0.035989,0.268121,0.034588,0.353528,0.895507,484068018.340317
0.013697,-0.001056,0.026462,0.268635,0.035478,0.353720,0.895242,484068018.355800
0.014901,-0.015526,0.050277,0.268965,0.035906,0.354023,0.895006,484068018.356036
0.014985,-0.002610,0.097959,0.268947,0.035949,0.354305,0.894898,484068018.371658
0.016129,0.001771,0.083171,0.268369,0.035826,0.354581,0.894968,484068018.387888
0.055839,-0.036720,-0.020589,0.267950,0.037233,0.354831,0.894936,484068018.388116
0.029529,-0.064330,-0.094910,0.268514,0.038843,0.355855,0.894292,484068018.403070
0.024605,-0.063228,-0.090155,0.270211,0.042100,0.357274,0.893067,484068018.418964
0.023331,-0.000908,-0.050437,0.272633,0.046631,0.358755,0.891511,484068018.419230
0.060476,0.045743,-0.013221,0.275099,0.051454,0.359738,0.890091,484068018.435155
0.101959,0.027890,0.218212,0.276211,0.056370,0.359915,0.889377,484068018.450876
0.146643,-0.027639,0.140208,0.275241,0.061862,0.359426,0.889510,484068018.451900
0.206233,-0.045725,0.116813,0.273482,0.066714,0.359721,0.889583,484068018.467315
0.197214,-0.003155,0.124785,0.271226,0.071495,0.361291,0.889266,484068018.482301
0.152188,0.056625,0.149413,0.268457,0.077677,0.363808,0.888561,484068018.482731
0.194377,0.131537,0.205090,0.265159,0.085654,0.367318,0.887373,484068018.498034
0.356724,0.276912,0.300885,0.261144,0.093609,0.372321,0.885674,484068018.513800
0.430983,0.209033,0.269555,0.256888,0.098891,0.378885,0.883558,484068018.514197
0.107418,0.128425,0.180116,0.252417,0.102600,0.385469,0.881574,484068018.529805
-0.237288,0.084351,0.080639,0.248100,0.105586,0.389652,0.880607,484068018.545483
-0.279085,0.136206,-0.041811,0.245029,0.108136,0.390952,0.880582,484068018.545957
0.079732,0.147965,0.066883,0.243940,0.109378,0.390890,0.880758,484068018.561352
0.072089,0.083057,0.218136,0.242840,0.109749,0.390655,0.881120,484068018.576237
